T,P,TC,SV,Idx
253.15,17.7,0.027116896,394.539701,53.68974106
253.15,17.7,0.027041802,388.3091369,54.12204951
253.15,17.7,0.026986163,389.9862097,53.83831637
253.15,17.7,0.027003649,389.769691,54.08953596
253.15,17.7,0.027176305,396.9305228,53.58920779
253.15,17.7,0.027186428,391.4998091,53.93151058
253.15,17.7,0.027167971,390.7280459,53.93872248
253.15,17.7,0.026879387,385.4996535,54.14042968
253.15,17.7,0.026944793,390.6262962,54.05066537
253.15,17.7,0.026991186,386.1207703,54.26636311
253.15,17.7,0.027232547,392.1706334,53.79355037
253.15,17.7,0.026980505,389.6484179,53.98640349
253.15,17.7,0.027290188,394.6721825,53.49238407
253.15,17.7,0.027076442,389.1649437,53.90167397
253.15,17.7,0.027250073,391.8445143,53.86495891
253.15,17.7,0.027384006,398.2076308,53.29643777
253.15,17.7,0.02718182,387.0700159,54.12205742
253.15,17.7,0.027243449,392.3332222,53.71766119
253.15,17.7,0.027338821,394.7358041,53.53136252
253.15,17.7,0.026820275,389.2516998,53.91762008
253.15,17.7,0.02691475,393.4230567,54.01916276
253.15,17.7,0.026906628,387.7827213,54.01935173
